type,name,label,label::Arabic,hint,hint::Arabic,appearance,required,calculation,constraint,constraint_message,constraint_message::Arabic,relevant,default,repeat_count,choice_filter,
integer,Q6_3_1_Males_60_plus,Males 60+:,???? 60+:,,,numbers,yes,,.<=${Q1_4_Males_60_plus},the answer should less than or equal 1.4,??????? ??? ?? ???? ??? ?? ?? ????? ????? ???? 1.4,${Q1_4_Males_60_plus}>0,0,,,
integer,Q6_3_1_Females_60_plus,Females 60+:,???? 60+:,,,numbers,yes,,.<=${Q1_4_Females_60_plus},the answer should less than or equal 1.4,??????? ??? ?? ???? ??? ?? ?? ????? ????? ???? 1.4,${Q1_4_Females_60_plus}>0,0,,,
end group,GQ6_3_1,,,,,,,,,,,,,,,
calculate,calc6_3_1,clac1.6.3,,,,,,${Q6_3_1_Males_0_To_3_years} + ${Q6_3_1_Females_0_To_3_years} + ${Q6_3_1_Males_4_To_5_years} + ${Q6_3_1_Females_4_To_5_years} + ${Q6_3_1_Males_6_To_10_years} + ${Q6_3_1_Females_6_To_10_years} + ${Q6_3_1_Males_11_To_17_years} + ${Q6_3_1_Females_11_To_17_years} + ${Q6_3_1_Males_18_To_59_years} + ${Q6_3_1_Females_18_To_59_years} + ${Q6_3_1_Males_60_plus} + ${Q6_3_1_Females_60_plus},,,,,,,,
note,Check6_3_111,The total members in question 6.3.1 should be less than or equal 1.3,????? ??????? ?? ?????? 6.3.1 ??? ?? ???? ??? ?? ?? ????? 1.3,,,,yes,,,,,(${calc6_3_1}>${Q1_3_How_many_individuals_live_in_this_household_including_yourself}),,,,
note,Check6_3_1,The total members in question 6.3.1 should be less than or equal 1.3,????? ??????? ?? ?????? 6.3.1 ??? ?? ???? ??? ?? ?? ????? 1.3,,,,yes,,,,,(${calc6_3_1}>${Q1_3_How_many_individuals_live_in_this_household_including_yourself}),,,,
integer,Q6_3_2_How_many_of_the_HH_members_you_identified_with_physical_cognitive_difficulties_had_respiratory_illness_in_the_past_30_days,6.3.2 How many of the HH members you identified with physical/cognitive difficulties had respiratory illness in the past 30 days?,6.3.2 ?? ??? ????? ?????? ??? ???????? ???????/ ???????? ????? ????? ?? ??? ????? ???? ??? 30 ????? ????????,(Numbers),(????????),numbers,yes,,,,,"selected(${Q6_3_Have_any_individuals_in_the_household_had_respiratory_illness_in_the_past_30_days},'Yes') and not(selected(${Q1_6_In_your_household_are_there_any_members_that_experience_any_of_the_following_physical_or_cognitive_difficulties},'No_HH_members_experienced_difficulties'))",,,,
end group,G6_Health,6. Health,6. ??????? ??????,,,,,,,,,,,,,
begin group,G7_Observation,7.Observation,7. ????????,,,,,,,,,"selected(${Q1_2_Are_you_willing_to_respond_to_this_household_visit},'Yes')",,,,
select_one yes_no,Q7_1_Could_you_direct_me_to_your_toilet_and_handwashing_facilities,7.1 Could you direct me to your toilet and handwashing facilities? ,7.1 ?? ???? ?? ?????? ??? ?????? ?????? ??? ???????,(Select one),(???? ?????),,yes,,,,,"selected(${Q5_21_2_How_many_households_share_this_toilet_including_the_surveyed_household},'Not_shared_1_household')",,,,
select_one q070101R,Q7_1_1_Are_soap_and_water_available_at_the_handwashing_facility,7.1.1 Are soap and water available at the handwashing facility? ,7.2 ?? ????? ??????? ?????? ?? ????? ??? ???????,(Select one),(???? ?????),,yes,,,,,"selected(${Q7_1_Could_you_direct_me_to_your_toilet_and_handwashing_facilities},'Yes')",,,,
select_one q070102R,Q7_1_2_Toilet_status,7.1.2 Toilet status,7.1.2 ???? ???????,(Select one),(???? ?????),,yes,,,,,"selected(${Q7_1_Could_you_direct_me_to_your_toilet_and_handwashing_facilities},'Yes')",,,,
select_multiple q07010201R,Q7_1_2_1_Note_any_problems_observed_with_the_toilet,7.1.2.1 Note any problems observed with the toilet:,7.1.2.1 ???? ?? ????? ??? ???????? ????????,(select all that apply)(Read out all options),(???? ???? ?? ?????)(???? ???? ????????),,yes,,"not(selected(.,'Dont_Know') and count-selected(.)>1)","You can not select  "" Don't_Know "" with another option","?????? ?????? ""?? ???? "" ?? ???? ???? ","selected(${Q7_1_2_Toilet_status},'Not_functional_and_dirty')",,,,
text,Q7_1_2_1_Other,7.1.2.1 Other (specify),7.1.2.1 ???? ( ???? ??????? ):,(please specify),(?????? ???????),,yes,,,,,"selected(${Q7_1_2_1_Note_any_problems_observed_with_the_toilet},'Other')",,,,
select_one q0702R,Q7_2_Ask_for_a_glass_of_water_that_household_would_typically_use_for_drinking_purposes_Test_the_water_with_a_pooltester_What_is_the_free_chlorine_residual_mg_L_in_the_sample,7.2 Ask for a glass of water that household would typically use for drinking purposes. Test the water with a pooltester. What is the free chlorine residual (mg/L) in the sample?,7.2 ???? ??? ?? ????? ??????? ?????? ???? ?????? ?????. ????? ????? ???????? ???? ????????. ???? ?????? ???? ??????? (???/ ???) ?? ??????? ,(Select one),(???? ?????),,yes,,,,,,,,,
select_one yes_no,Q7_3_Can_you_see_visible_traces_of_human_faeces_in_the_vicinity_of_the_household_50_meters_or_less,7.3 Can you see visible traces of human faeces in the vicinity of the household (50 meters or less) :,7.3 ?? ????? ???? ???? ????? ????? ???? ?? ???? ?????? (50 ????? ?? ???)?,(Select one),(???? ?????),,yes,,,,,,,,,
select_one yes_no,Q7_4_Can_you_see_accumulated_solid_waste_in_the_vicinity_of_the_household_50_meters_or_less,7.4 Can you see accumulated solid waste in the vicinity of the household (50 meters or less):,7.4 ?? ????? ???? ?????? ???? ??????? ?? ???? ?????? (50 ????? ?? ???)?,(Select one),(???? ?????),,yes,,,,,,,,,
select_one yes_no,Q7_5_Can_you_see_visible_stagnant_water_in_the_vicinity_of_the_household_50_meters_or_less,7.5 Can you see visible stagnant water in the vicinity of the household (50 meters or less) :,7.5 ?? ????? ???? ???? ????? ?? ???? ?????? (50 ????? ?? ???)?,(Select one),(???? ?????),,yes,,,,,,,,,
text,Q7_6_Do_you_enumerator_have_any_other_comments_on_the_WASH_status_of_this_household,7.6 Do you (enumerator) have any other comments on the WASH status of this household?,7.6 ?? ???? (??????) ?? ??????? ???? ?? ???? ?????? ?????? ????? ???? ???????,(please specify),(?????? ???????),,yes,,,,,,,,,
end group,G7_Observation,,,,,,,,,,,,,,,
end group,endend2,,,,,,,,,,,,,,,
